devices, latency, power, osnr,,,,,
2,98,-237,172,8027,8005,0,0.000663535,0
2,98,-125,276,8027,8026,0,0.000936173,0
2,98,-138,259,8027,8027,0,0.001227025,0
2,97,-249,160,8027,5330,1,0.001430413,2
2,97,-226,175,8027,8026,0,0.001465149,0
2,97,-232,177,8027,8026,0,0.002089577,0
2,97,-210,199,8027,8027,0,0.002797846,0
2,97,-253,158,8027,3619,1,0.003304601,1
2,96,-145,260,8027,8026,0,0.003672948,0
2,97,-239,169,8027,8005,0,0.003966941,0
2,96,-246,156,8027,7805,0,0.004778375,0
2,97,-244,169,8027,7847,0,0.005765406,0
2,96,-136,272,8027,8027,0,0.007274147,0
2,96,-245,171,8027,7332,0,0.007756832,0
2,98,-249,157,8027,6191,1,0.007829084,2
2,97,-251,157,8027,2712,1,0.008973036,1
2,97,-245,158,8027,7550,0,0.009458891,0
2,96,-156,258,8027,8026,0,0.009701296,0
2,97,-184,226,8027,8026,0,0.01165812,0
2,96,-211,192,8027,8026,0,0.012529441,0
2,97,-245,170,8027,7794,0,0.012883719,0
2,96,-136,264,8027,8026,0,0.014666291,0
2,97,-254,157,8027,1846,1,0.015323815,1
2,97,-169,234,8027,8026,0,0.016160891,0
2,96,-130,278,8027,8026,0,0.017206226,0
2,96,-201,210,8027,8026,0,0.018254566,0
2,97,-245,153,8027,7712,0,0.019004224,0
2,96,-124,269,8027,8027,0,0.019307224,0
2,96,-236,162,8027,8018,0,0.01932457,0
2,98,-245,153,8027,7696,0,0.01976009,0
2,97,-156,242,8027,8026,0,0.020676671,0
2,97,-236,169,8027,8016,0,0.020774437,0
2,97,-118,273,8027,8026,0,0.020817398,0
2,97,-138,259,8027,8026,0,0.021965981,0
2,96,-191,216,8027,8027,0,0.023752145,0
2,97,-246,166,8027,7531,0,0.023904322,0
2,97,-156,258,8027,8026,0,0.026151821,0
2,97,-204,214,8027,8026,0,0.026539126,0
2,96,-245,155,8027,7343,0,0.027933489,0
2,97,-138,273,8027,8026,0,0.029300727,0
2,98,-253,149,8027,795,1,0.030374889,1
2,97,-166,253,8027,8027,0,0.030887976,0
2,96,-162,238,8027,8027,0,0.03267099,0
2,97,-242,178,8027,7706,0,0.033911944,0
2,96,-251,158,8027,6702,1,0.034022271,2
2,97,-238,185,8027,7999,0,0.034169266,0
2,98,-166,253,8027,8027,0,0.034913525,0
2,97,-249,167,8027,3062,1,0.035008821,1
2,96,-249,163,8027,7157,1,0.035127299,2
2,97,-236,172,8027,8017,0,0.035461188,0
2,97,-253,161,8027,426,1,0.035727986,1
2,97,-217,200,8027,8026,0,0.037058374,0
2,97,-245,159,8027,7323,0,0.037612405,0
2,96,-236,172,8027,8016,0,0.037883993,0
2,97,-151,246,8027,8026,0,0.038463914,0
2,96,-184,226,8027,8026,0,0.038672164,0
2,96,-251,173,8027,1717,1,0.03953441,1
2,97,-191,215,8027,8026,0,0.040567315,0
